p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.088860586830059e-32,1.03754432230052,0.701,0.141,5.802093172711854e-28,3,Gad1
4.5239295312005885e-27,1.0332585318768677,0.708,0.181,6.419456004773635e-23,3,Asb4
5.203743200662089e-25,0.7606452175748615,0.569,0.107,7.384111601739504e-21,3,Slc32a1
4.953805625079478e-23,0.8576848783217059,0.577,0.138,7.02945018198778e-19,3,Gpr101
7.776454254242124e-23,0.76037044468747,0.657,0.15,1.1034788586769574e-18,3,Isl1
2.9186140052355008e-22,0.725413255286196,0.518,0.107,4.141513273429176e-18,3,Rbms3
3.81637541342528e-22,0.7032082759680575,0.569,0.104,5.415436711650472e-18,3,Ecel1
1.5372678635188528e-21,0.695895541059647,0.686,0.199,2.181383098333252e-17,3,Marcksl1
8.651407594559652e-21,1.050905078871235,0.774,0.623,1.2276347376680147e-16,3,Dlk1
1.415620495154353e-20,0.6876825433830394,0.657,0.218,2.0087654826240269e-16,3,Unc5d
1.5187075723382795e-20,0.6315178552114815,0.569,0.144,2.1550460451480187e-16,3,Efna5
7.342987264503301e-20,1.0169685803910469,0.766,0.488,1.0419698928330185e-15,3,Gad2
2.0317237983921923e-19,0.7380477753652848,0.635,0.215,2.883016069918521e-15,3,Elavl2
6.913334374008916e-19,0.6437072642193955,0.569,0.144,9.810021476718652e-15,3,Peg10
9.954038851435846e-18,0.5799356977941652,0.672,0.233,1.4124781130187465e-13,3,Trmt112
1.7615444954057047e-17,0.6059788280289717,0.628,0.206,2.499631638980695e-13,3,Scn9a
1.8722627885677633e-16,0.5204878432796535,0.409,0.071,2.656740896977656e-12,3,Gabre
8.464149387682346e-16,0.5082708867065557,0.38,0.055,1.2010627981121249e-11,3,Dgkk
2.1152132650618488e-15,0.6532426263661978,0.745,0.423,3.001487623122764e-11,3,Fxyd6
4.5755801664105165e-15,0.5557107832215669,0.62,0.239,6.492748256136523e-11,3,Sgsm1
1.0089993236214396e-14,0.5583206281284148,0.65,0.258,1.4317700402188228e-10,3,Prune2
2.1469685337521502e-14,0.5203942073853552,0.387,0.074,3.046548349394301e-10,3,Tbx3
8.884192422344587e-14,0.59804676303782,0.35,0.067,1.260666904730697e-9,3,Otp
1.3449216416627035e-13,0.6240990818414308,0.599,0.242,1.908443809519376e-9,3,Alg2
2.3340565771474903e-13,0.5147056005215892,0.723,0.325,3.312026282972289e-9,3,AW551984
6.873137716687298e-13,1.1999710987975698,0.591,0.224,9.752982419979276e-9,3,Cartpt
1.0379965957473733e-12,0.5336816339998739,0.438,0.144,1.4729171693655226e-8,3,Parm1
3.0643157064823345e-12,0.5677253667450741,0.62,0.267,4.348263987498433e-8,3,Gnai1
3.773563295040509e-12,0.5600241293782796,0.613,0.279,5.3546863156624825e-8,3,Ptpro
6.515346627482337e-12,0.5228711309608136,0.657,0.307,9.245276864397435e-8,3,Celf6
6.863651264714112e-12,0.6108716355148764,0.591,0.255,9.739521144629325e-8,3,Hs6st2
3.825025690863695e-11,0.5663379033104821,0.307,0.043,5.427711455335583e-7,3,Gal
6.511276567109177e-11,0.5005365507944898,0.613,0.301,9.239501448727922e-7,3,Stmn4
1.8720467633701818e-8,0.8682264344481379,0.248,0.071,2.656434357222288e-4,3,Npy
1.2072361498523853e-5,0.7656523791552468,0.511,0.279,0.17130680966405348,3,Pomc
2.981395761983037e-79,1.6005593557721745,1,0.832,4.2306005862539297e-75,1,Slc1a3
1.226218574990002e-72,1.6074655204244748,1,0.785,1.740004157910813e-68,1,Gm3764
1.1081327851945982e-64,1.4898069905934432,0.995,0.674,1.5724404221911348e-60,1,Plpp3
2.2992784270803698e-61,1.5623400335416846,1,0.692,3.262676088027045e-57,1,Ntsr2
4.685628357655147e-59,1.4417359449265146,1,0.72,6.648906639512653e-55,1,Bcan
2.191301353862414e-57,1.4464930584847624,1,0.763,3.1094566211307656e-53,1,Slc4a4
1.0136130264359449e-56,1.4235837340956623,0.995,0.677,1.4383168845126059e-52,1,Ptch1
8.926706197827265e-56,1.3881990880094657,0.995,0.616,1.2666996094716889e-51,1,Gja1
5.836774715694202e-54,1.3048741636480656,1,0.695,8.282383321570073e-50,1,Slc6a1
2.4645450580506967e-52,1.3302569494743417,0.984,0.62,3.4971894373739383e-48,1,Gpr37l1
5.051547905620596e-48,1.2392640798996695,0.995,0.771,7.168146478075625e-44,1,Qk
4.53042078723122e-45,1.203734659751361,0.989,0.588,6.428667097081102e-41,1,Fgfr3
1.5584751753024647e-44,1.2361802541555924,0.962,0.545,2.2114762737541975e-40,1,Ednrb
9.285633110063272e-44,1.1889381380823223,1,0.713,1.3176313383179784e-39,1,Ttyh1
1.0313828158463178e-42,1.1822615273297439,0.891,0.416,1.463532215685925e-38,1,Mfge8
3.145702850461748e-40,1.1708253452866293,0.973,0.573,4.463752344805221e-36,1,Slc7a10
7.067869687816625e-39,1.114379621718242,0.984,0.577,1.0029307087011792e-34,1,Timp3
7.582453104353098e-37,1.1660740942651082,0.891,0.427,1.0759500955077047e-32,1,Aqp4
1.0984556121249256e-36,1.0205778046528615,0.957,0.516,1.5587085136052694e-32,1,Pla2g7
3.3406507098985894e-36,1.0508541798373487,0.973,0.609,4.7403833573460985e-32,1,Mmd2
2.698473372341387e-35,0.9694721742159911,0.984,0.627,3.8291337153524284e-31,1,Pitpnc1
6.310041553871657e-35,0.9973863167750412,0.989,0.595,8.953948964943881e-31,1,Ddhd1
1.1590582282917105e-34,1.074731979138351,0.886,0.473,1.6447036259459372e-30,1,S1pr1
1.8108452339298837e-34,0.9241479477247442,0.962,0.541,2.569589386946505e-30,1,Kcnj10
2.7042956465888144e-34,1.006226332209955,0.951,0.502,3.837395522509528e-30,1,2310022B05Rik
8.522340643485178e-33,0.8445422897362025,0.984,0.609,1.2093201373105468e-28,1,Acsl6
8.771573927799931e-33,1.036568859408231,0.995,0.728,1.2446863403548101e-28,1,Atp1b2
1.8812943521463592e-31,0.8700777951761672,0.967,0.591,2.6695566856956838e-27,1,Prdx6
3.713698149694272e-31,0.9152816809266853,0.957,0.588,5.2697376744161715e-27,1,Grk3
4.368900511379967e-31,0.9306674271996973,0.995,0.774,6.199469825648173e-27,1,Ptprz1
4.280712143947811e-30,1.023625228806953,0.984,0.713,6.074330532261944e-26,1,Acsl3
2.2005761741877255e-27,1.1145471380315606,0.832,0.416,3.122617591172382e-23,1,Slc7a11
7.945272790464424e-27,0.7525624492172247,0.973,0.591,1.1274342089669018e-22,1,Adgrg1
8.795050640205781e-27,1.0828532934574535,0.772,0.401,1.2480176858452003e-22,1,Etnppl
1.1997468050621485e-25,0.9151329995203856,0.804,0.452,1.702440716383189e-21,1,Gpld1
1.257992916823251e-25,0.7332618932582884,0.984,0.616,1.785091948972193e-21,1,Serpine2
2.2621003476119835e-23,0.87803749836929,0.973,0.695,3.2099203932614047e-19,1,5031439G07Rik
2.647349285011374e-23,0.7428007985287728,0.978,0.663,3.7565886354311394e-19,1,Fut9
4.693944765229434e-23,0.8345583967566061,0.973,0.649,6.660707621860567e-19,1,Mt2
8.298364758423921e-23,0.7505493191614344,0.886,0.545,1.1775379592203544e-18,1,Cd63
9.953271911824096e-23,0.7023832059183595,0.962,0.638,1.4123692842878391e-18,1,Per3
1.5367958389063732e-22,0.7171571130860259,0.973,0.663,2.1807132954081437e-18,1,4930402H24Rik
2.4015811817606153e-20,0.8534338953857469,0.766,0.437,3.4078436969183133e-16,1,Nfib
3.0173259237365185e-20,0.7432995278882566,0.957,0.681,4.28158548578212e-16,1,Dtna
7.415799020454306e-20,0.6135919199245247,0.929,0.642,1.052301881002466e-15,1,Phyhipl
1.8368574287601073e-19,0.9464867699543135,0.701,0.444,2.6065006914105925e-15,1,Hes5
2.5016492247186224e-19,0.6600194898668827,0.989,0.685,3.5498402498757253e-15,1,Tcf4
9.255146125613508e-19,0.6942184629864199,0.962,0.703,1.3133052352245568e-14,1,Fry
9.395901483870238e-19,0.6736228179618982,0.967,0.685,1.3332784205611867e-14,1,Chd9
9.977252947903906e-19,0.6800322168115074,0.995,0.76,1.4157721933075642e-14,1,Glud1
1.759290220615155e-18,0.6498669959965453,0.978,0.67,2.496432823052905e-14,1,Ahcyl1
2.0644202393464744e-18,0.6774074346151939,0.984,0.724,2.9294123196326473e-14,1,Dbi
2.7483342625258116e-18,0.6687644364016965,0.978,0.688,3.8998863185241265e-14,1,Ptn
2.7798569823929554e-18,0.6274350617635696,0.946,0.606,3.944617058015604e-14,1,Trim9
2.797254753982421e-17,0.5570577171355884,0.973,0.645,3.9693044959010556e-13,1,Tubb2b
3.8231647200761984e-17,0.5936399418323841,0.962,0.695,5.425070737788125e-13,1,Camk2g
4.388239537864787e-17,0.5607400376587898,0.913,0.595,6.226911904230133e-13,1,Scg3
1.5050280157816502e-16,0.5734541256095766,0.962,0.62,2.1356347543941617e-12,1,Tmem47
2.2043872152043288e-16,0.6240183285961636,0.989,0.688,3.1280254583749425e-12,1,Msi2
7.210206655455985e-16,0.5433344870792245,0.902,0.631,1.0231283244092042e-11,1,Pmm1
1.4777733411418018e-15,0.661332778043966,0.995,0.799,2.0969603710802168e-11,1,Gpm6b
1.605907684547786e-15,0.875097733724419,0.652,0.459,2.2787830043733085e-11,1,Hepacam
2.5204354945620674e-15,0.9124103779715856,0.571,0.391,3.576497966783574e-11,1,Prex2
3.914489157340926e-15,0.6301988462120489,1,0.835,5.5546601142667744e-11,1,Arhgap5
4.2964047877529984e-15,0.5537055423415659,0.886,0.591,6.096598393821504e-11,1,Nrbp2
5.28777324688618e-15,0.5673924918369754,0.875,0.566,7.50335023733149e-11,1,Gstm1
1.1109442946377966e-14,0.5254753535784114,0.957,0.674,1.5764299540910333e-10,1,Cadm2
1.719732670089119e-14,0.6114682549391138,0.837,0.545,2.4403006588564596e-10,1,Chpt1
2.8342036709770196e-13,0.7986715836857208,0.549,0.394,4.021735009116391e-9,1,Tril
1.2169623560416796e-12,0.7387566496921943,0.467,0.305,1.7268695832231433e-8,1,Lrig1
2.276879984069848e-12,0.7306198963365477,0.641,0.452,3.2308926973951144e-8,1,Nkx6-2
3.2602080147391593e-12,0.7712438702832998,0.522,0.351,4.626235172914867e-8,1,Htra1
1.0148120413307075e-11,0.7482169789412606,0.478,0.319,1.440018286648274e-7,1,Ttll3
2.684797891369284e-11,0.7715455525847977,0.571,0.416,3.809728207853014e-7,1,Nkain4
4.0414229874238347e-11,0.6673908642503833,0.62,0.47,5.734779219154421e-7,1,Slc27a1
7.053712372673866e-53,1.191677105847483,0.972,0.741,1.0009217856824216e-48,2,Thy1
2.3792875759269644e-45,1.1577131310510311,0.972,0.76,3.3762090702403626e-41,2,Gda
2.8961113136150467e-44,1.0656510552288772,0.782,0.134,4.109581954019751e-40,2,Lbhd2
2.0466508748614668e-40,1.0208521960610955,0.972,0.776,2.9041975914284214e-36,2,Grm5
1.2308547396467474e-39,1.0804670523583182,0.711,0.097,1.7465828755587347e-35,2,Adcyap1
1.7833126194930482e-39,1.026040949630796,0.655,0.056,2.5305206070606356e-35,2,Fezf1
1.5743326184124996e-37,0.9468148257190265,0.754,0.14,2.233977985527337e-33,2,Rbfox1
2.862711108368856e-36,1.0072220770960247,0.739,0.143,4.0621870627754066e-32,2,Lmo3
5.417236559321702e-36,0.9567166836757133,0.746,0.162,7.687058677677495e-32,2,Tenm2
