myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.721,0.5274412993281372,0.44199999999999995,0.760936946900735,0.47,0.034,Ventromedial hypothalamus,Gm11808
0.72,0.4416293131684905,0.43999999999999995,0.6371364200193801,0.889,0.617,Ventromedial hypothalamus,Macf1
0.719,0.5480325276232918,0.43799999999999994,0.7906438098479673,0.556,0.141,Ventromedial hypothalamus,Ncam2
0.717,0.5441732195049026,0.43399999999999994,0.7850760051643045,0.532,0.114,Ventromedial hypothalamus,Tmtc2
0.716,0.5061331999894539,0.43199999999999994,0.7301958576540475,0.604,0.207,Ventromedial hypothalamus,Farp1
0.715,0.49700787892839393,0.42999999999999994,0.7170308022127362,0.474,0.051,Ventromedial hypothalamus,Tecpr2
0.712,0.48579928374174297,0.42399999999999993,0.700860217521623,0.424,0.001,Ventromedial hypothalamus,Nlrc4
0.712,0.5031049291390767,0.42399999999999993,0.725826986315739,0.574,0.172,Ventromedial hypothalamus,Negr1
0.711,0.5055796590771506,0.42199999999999993,0.7293972669249379,0.602,0.208,Ventromedial hypothalamus,Frmd4a
0.707,0.4391690269317793,0.4139999999999999,0.6335869772665097,0.866,0.635,Ventromedial hypothalamus,Ncam1
0.706,0.5101160103296167,0.4119999999999999,0.7359418383806016,0.514,0.117,Ventromedial hypothalamus,Cdh20
0.705,0.544166582246965,0.4099999999999999,0.7850664296251928,0.494,0.095,Ventromedial hypothalamus,Kirrel3
0.704,0.5178369587001457,0.4079999999999999,0.7470808123057231,0.61,0.252,Ventromedial hypothalamus,Ppp2r2b
0.704,0.4764583926018,0.4079999999999999,0.6873841601965439,0.79,0.513,Ventromedial hypothalamus,Nfia
0.704,0.4645093571430272,0.4079999999999999,0.6701453459967658,0.587,0.209,Ventromedial hypothalamus,Pnpla7
0.702,0.4427444669109879,0.4039999999999999,0.6387452467935101,0.729,0.383,Ventromedial hypothalamus,Fry
0.701,0.47368741645699686,0.4019999999999999,0.6833864866540147,0.486,0.099,Ventromedial hypothalamus,Heph
0.897,0.9734571017674717,0.794,1.4044017332380743,0.976,0.53,Ventromedial hypothalamus (ventrolateral),Gapdh
0.872,0.8276190446394294,0.744,1.1940018914465669,1,0.925,Ventromedial hypothalamus (ventrolateral),mt-Cytb
0.864,0.7364154250289026,0.728,1.0624228817233359,0.998,0.96,Ventromedial hypothalamus (ventrolateral),Ckb
0.856,0.7235787714846671,0.712,1.0439035053134575,0.988,0.769,Ventromedial hypothalamus (ventrolateral),Ppia
0.816,0.6288880985847609,0.6319999999999999,0.9072937411023236,0.998,0.933,Ventromedial hypothalamus (ventrolateral),Mt3
0.795,0.6431910141014497,0.5900000000000001,0.9279284863885048,0.891,0.402,Ventromedial hypothalamus (ventrolateral),mt-Nd5
0.791,0.6037154901696842,0.5820000000000001,0.8709773437756534,0.948,0.487,Ventromedial hypothalamus (ventrolateral),Chchd2
0.79,0.6233945082715509,0.5800000000000001,0.8993681656007803,0.779,0.237,Ventromedial hypothalamus (ventrolateral),Rpl30
0.79,0.550602528049176,0.5800000000000001,0.794351536717472,1,0.992,Ventromedial hypothalamus (ventrolateral),Cst3
0.785,0.5316673599643851,0.5700000000000001,0.767033863623146,0.995,0.829,Ventromedial hypothalamus (ventrolateral),mt-Nd2
