Bcl7b
Jmjd8
Mrpl53
Bms1
Tbp
Ddx59
Gtpbp4
Ndufa8
Hoxa3
Tdpoz2
Tdpoz1
Gm37596
Gm5773
Tdpoz4
Tdpoz3
Gm9117
Tdpoz5
Mtx3
Tgs1
Rasl2-9
Senp5
Rere
Rwdd2a
Dnajc2
Spen
Lyrm2
Skil
Faf2
Tigd5
Tpp2
Actr8
Baz1b
Cnot10
Kctd20
Cfdp1
Supt5
Mrps21
Zfy1
Jrkl
Trmt12
Polrmt
Csk
Rbm28
Glrx5
Agk
Lin37
Nbn
Rad21
Thyn1
Rsbn1l
Tmem106b
Map3k4
Ehbp1
Uba2
Ebag9
Nfu1
Fadd
Rnf139
Sae1
AU040320
Atxn7
Med24
Fam45a
Brap
Ube2b
Plrg1
Capza2
Ipo9
Coq7
Gemin6
Zfp511
Rufy1
Wdr36
Psmc1
Ldoc1
Utp23
Gm9125
Gm10697
Gm10696
Rb1cc1
Usp7
Tubgcp2
Ints12
Crybb3
Thoc7
Utp15
Ggps1
Atg2b
Eif4enif1
Trit1
Rnf126
Kars
Pik3r4
Zdhhc13
Ssbp1
Med29
Mtpap
Psmc2
Smchd1
Anp32e
Lins1
Rraga
Oaz2
Rab2a
Fam187b
Map3k7
Zfp787
Pla2g6
Zfp668
Ndufb10
Scap
Arid4b
Ccnt1
Terf2ip
Abcb6
1810013L24Rik
Trmt1
Phf12
Rbm15b
Tmem69
Atg9a
Psma3
B3gnt2
Ube2j1
Dhx57
Lrrc32
Bad
Scfd1
Tbc1d10b
Ireb2
Arl2bp
Cd300lb
Zmym4
2300002M23Rik
Pik3ca
Rnf180
Mrpl32
Ly6d
Gpbp1l1
Vps45
Cdc16
Pbx2
Gm5286
Gm4778
Gm45736
Wdr74
Alkbh5
Gm527
Guca2a
Skint8
Skint7
Cops8
Otud5
Rbm18
Npm3
Gpsm3
Gatad2b
Tmem39b
Gripap1
Lpar5
Strn3
Commd1
Gm28048
Zcchc7
Rpl6
Larp4b
Mynn
Cchcr1
Rad51c
Daxx
Zfp128
Hectd1
Nck1
Pom121
Rab3gap1
Vpreb1
Zfp428
Cdc5l
Zfp639
Pla2g15
Tfb1m
Nup50
Tomm22
Myod1
Med21
AW209491
Zc3h4
Pex1
Trappc6b
Riok2
Sos1
Rpp14
Stx5a
Safb2
Bckdk
Cyb5r4
Psma4
Kdm2a
Ankrd16
Lin52
Pikfyve
Cd3eap
Glod4
Hspa14
Mfsd5
Zfp78
Fbxl12
Tmed4
Eif2s3y
Dnajc8
Gadd45gip1
Golga3
Prr12
Gemin4
Nit1
Txndc12
Ism2
Slc25a16
Wac
Zfp580
Lmf1
Fiz1
Mphosph10
Dnttip2
Dmap1
L3mbtl2
1700123L14Rik
Zfp784
Pphln1
Pak4
Fbxo25
Sephs2
Pum1
Fam172a
Tmem151b
Casp8ap2
Taok2
Hdac3
Ormdl1
Gm28778
Top3a
Yme1l1
Ccdc58
Zfp558
Zfp354b
Tcof1
Nus1
Ric3
Cbl
Gopc
Ino80e
Pabpc4
Mrpl38
Saal1
Mastl
Ilf2
Scarf2
Mrpl9
Fubp1
Phb2
Gm28551
Asnsd1
Ttc9c
Barx1
Chfr
Calm2
Fam162a
Pprc1
Dcaf13
Neurl3
Mrpl17
Rnf185
Xpnpep2
Sigmar1
Lrrc3
Hsf1
Gm10131
Rpl7l1
Usp43
Impad1
Thnsl1
1700020L24Rik
Cdc37l1
Fbxo11
Taf6l
Serp1
Znhit6
Eral1
Fam185a
2810006K23Rik
Arf1
Zkscan17
Eif3b
Ing1
Ubl5
Ube2g2
Xpo1
Eif3k
Mia3
Fbxo45
Rc3h2
Zfp583
Skp1a
Leprotl1
Chmp2a
Chd9
Nolc1
Utp14a
Chmp6
Tbc1d22a
Gtpbp10
Nmd3
Pop1
AI597479
Gm7879
Atf6
Rbm22
1110012L19Rik
Ubr2
Wdr5
Foxk2
Med7
Rusc2
Ccdc149
Prpf38a
Wdr43
Sfpq
Tpr
Hltf
Lrrc37a
Gm884
Msh2
Zbtb25
Cox15
Fmr1
Cep57
Arrb2
Spag7
Pnrc2
Csdc2
Dedd
Arid1b
Rnf113a2
Pygo2
Fbxo48
Ercc5
Ppm1g
Rbm12b2
Rbm12b1
Arl5a
Pigx
Ercc1
Zbtb2
Bola1
Foxq1
Prpf4
Zfp90
Rmnd1
Agpat1
Gigyf2
Txn2
Arl8b
Snx15
Dennd4a
Srp19
Ints3
Cops6
Tgfbrap1
Yaf2
Mrpl40
Bex6
Fktn
Mrps28
Gnb1
BC048671
Jmy
Dgcr2
Gm20518
Wdr53
Golt1b
Zfp180
Upf2
Ptpn23
Npffr1
Yipf2
Gon4l
Strap
Pelp1
Mrpl18
Sumo1
Nat9
Pdcd5
Rnf34
Ppp2ca
Park7
Fsd1l
Zmynd11
Rnps1
Sar1a
Rfx7
Jagn1
Usp4
Mrpl55
Gcc1
Kpna4
Zbtb45
Ggnbp2
Eif2a
Mtch2
Cox7a2l
Dgcr6
Mlst8
Chic2
Dnajb11
Zfy2
Rexo4
Rint1
Arfip2
Ifi35
Haus3
Armc5
Dnpep
Ndufb8
Nampt
Slc5a2
Mib1
Ythdc2
Alg1
Adnp2
Zfand6
Fcrl5
Nfxl1
Heatr5b
Zfr
Pibf1
Zfp317
Anxa7
Sart3
Gpatch1
Zfp473
Hp1bp3
Tatdn3
Csnk1e
Mrps2
Prpf18
Txndc9
Spop
Gm4858
Nudt21
Supt6
Exosc9
Aldh18a1
Wdr70
Stard7
Ric8a
Hnrnpl
Ptger2
Zdhhc21
Vgll3
Zbtb44
Trim24
Mettl2
Psmb4
Mrps34
Ubap2l
Rpia
Clec2h
Exosc7
Npat
Mrps31
Zbtb12
Hnrnpab
Eif2b3
Ccdc12
Phax
Ash1l
Chmp5
Praf2
Zc3hc1
Sharpin
Mapkap1
Zkscan5
Zcchc9
Exosc3
Mrs2
Usp49
Mrps35
Cdv3
Gm1673
Cog5
Dcaf12
Sdad1
Csnk2b
Tubgcp3
Tmem11
Asb10
Mycbp2
Exoc7
Ogfod1
Nfx1
Art5
Kcmf1
Ppan
Lcmt1
C87436
Immp2l
Adk
Alg11
Cacybp
A230050P20Rik
Tfg
Cc2d1a
Med23
Mfap3
Neu3
Mlx
Ctrc
Ddx18
Dnajc16
Gm26920
Zfp566
Abcf3
Cnot7
Eif2s3x
Fam120b
Pgbd1
Eif5b
Ccne1
Lsm7
Timm8b
Mak16
Cog6
Zfp637
Zfp763
Zfp61
Prr15
Cnot6l
Eif5
Nup205
Zcchc10
Men1
Gm9774
Braf
Pdcd10
Asb8
Psmd7
Snrpd1
Ggt1
Cope
Gm45234
Atn1
Gale
Tomm6
Zp3
Morc2a
Morc2b
Xrcc6
Nr1h2
Klhl15
Dars
Zkscan2
E430018J23Rik
Zfp764
Galnt1
Mbd1
Cdc34b
Fancm
Pten
Ccnc
Hsf2
Kiss1r
Aoc3
Zfp292
Pmvk
Azi2
Rpa2
Mrpl44
Rprd1a
Ppt1
Fto
1110059G10Rik
Gm21992
Rbm4
Cct5
Eaf2
Adar
Rbm45
2700062C07Rik
Fyttd1
Ubap2
Tmem158
Ube2k
Crb3
Hif1a
Mrpl14
BC005624
Lrrc29
Zfp213
Eif4a1
Arrb1
Nhp2
Evl
Foxd3
Zcchc2
Gapdhs
Zfp105
Erlec1
Gpr119
Sbno1
Ranbp3
Ugdh
Etf1
Zbtb38
Urod
Slc37a4
Pex3
Caml
Galr3
Rsrc2
Ndufaf2
Zfp280d
Vpreb2
Pdss1
Fbxl3
Kntc1
Esco1
Map3k2
Phf13
Alkbh8
Rbm14
Zfp54
Cwc15
Zbtb41
Zfp689
Wdr82
Zbtb43
Timm13
Cox6b1
Dnajc19
Pafah1b1
Gapvd1
Gm9833
Hnrnpk
Setd5
Ccdc43
