HIST1H2AI
HIST1H3E
HIST1H3B
HIST1H1B
PPDPF
TPX2
NUSAP1
HIST1H2AC
HIST2H2AC
TNC
KIF15
HIST1H1A
HIST1H2BC
FABP5
DTYMK
RAB11B
HES6
LRIG3
E2F5
MPPED2
